GeneID;X;Length;X.1;NoCys;FractCys;X.2;species.specific;genus.specific;X.3;invitro_1;invitro_2;invitro_3;minusP_1;minusP10_2;minusP10_3;minusP24_1;minusP24_2;minusP24_3;X.4;minusP_10dpi.IV;minusP_24dpi.IV;X.5;dN.dS;gfam
CI_00020;NA;130;NA;2;1.54;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_00223;NA;394;NA;15;3.81;NA;Y;;NA;10.49880374;9.482364807;7.95895367;12.27612177;7.779432706;9.075080535;16.95082963;9.543909231;9.670471766;NA;;;NA;NA;NA
CI_00297;NA;292;NA;12;4.11;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_00318;NA;91;NA;3;3.3;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_00338;NA;79;NA;8;10.13;NA;;Y;NA;0.056010216;0.0778716;0.018352699;4.740284643;3.596942004;2.345245531;6.296022433;6.964474304;3.223490589;NA;up in planta;up in planta;NA;NA;NA
CI_00366;NA;123;NA;8;6.5;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_00516;NA;107;NA;5;4.67;NA;;Y;NA;2.956094711;3.276597315;3.052665551;5.226467684;4.935339028;6.8318022;15.98221079;18.31398798;29.0114153;NA;;up in planta;NA;NA;NA
CI_00694;NA;60;NA;2;3.33;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_00710;NA;72;NA;2;2.78;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_00738;NA;88;NA;6;6.82;NA;;Y;NA;0.06845693;0.017970369;0.018352699;4.011010083;2.258544979;0.917704773;28.57425566;26.05229277;34.87230728;NA;up in planta;up in planta;NA;NA;NA
