name;sum_pN;sum_pS;ratio;peg;old;desc;effector;secreted;Cg_bestHit;CSEP;pvalue;fdr;stars;eff_new;sec_new
gfam_10001;4.35518993467215;11.3654301499605;0.383196225502057;1001.peg.2078;CT04_02078;phosphotransferase enzyme family protein;;;GLRG_08811T0;;0.597104240483664;1;ns;FALSE;FALSE
gfam_10002;7.03465602601049;14.4616073427356;0.486436663594255;1001.peg.953;CT04_00953;FAD dependent oxidoreductase superfamily protein;;Yes;GLRG_03110T0;;0.317543837856522;1;ns;FALSE;FALSE
gfam_10003;0.21053739670509;2.24971878515186;NA;1001.peg.7903;CT04_07903;beta-lactamase domain protein;;Yes;;;1;1;ns;FALSE;TRUE
gfam_10004;33.4976510289155;49.8571258483153;0.671872885950714;1001.peg.6388;CT04_06388;major facilitator superfamily transporter;;;GLRG_11733T0;;0.00638678623420268;0.241633412527335;ns;FALSE;FALSE
gfam_10005;0.749906261717285;0;NA;1001.peg.12686;CT04_12687;NmrA family protein;;;;;0.266618469760858;1;ns;FALSE;FALSE
gfam_10006;0.461680517082179;0.599520383693045;NA;1001.peg.1551;CT04_01551;hypothetical protein;;;;;1;1;ns;FALSE;TRUE
gfam_10007;3.5793420828362;6.56352555086732;NA;1001.peg.1474;CT04_01474;UDP-glucosyl transferase family protein (cytochrome P450);;;;;0.333343871232267;1;ns;FALSE;FALSE
gfam_10008;0.705840832892183;12.012012012012;0.0587612493382743;0004.peg.10083;CS_10083;character(0);character(0);character(0);character(0);character(0);0.98224817644773;1;ns;FALSE;FALSE
gfam_10009;0.749906261717285;12.012012012012;0.062429696287964;1002.peg.10868;CBS495_10868;character(0);character(0);character(0);character(0);character(0);0.98224817644773;1;ns;FALSE;FALSE
gfam_10010;0.731766810309781;1.90430849797667;NA;1001.peg.3832;CT04_03832;hypothetical protein;;;;;0.605553495205797;1;ns;FALSE;TRUE
gfam_10011;0.204526861194437;1.20048019207683;NA;1001.peg.9850;CT04_09850;NmrA-like family protein;;;GLRG_09060T0;;1;1;ns;FALSE;TRUE
gfam_10012;0;19.839946648883;0;1001.peg.8608;CT04_08608;heterokaryon incompatibility protein HET-6-like protein;;;GLRG_00310T0;;1;1;ns;FALSE;TRUE
gfam_10013;2.3226555695345;4.79904019196161;NA;1001.peg.10564;CT04_10564;carboxylesterase family protein (secreted protein) protein;;Yes;GLRG_05333T0;;0.595508837782303;1;ns;FALSE;TRUE
gfam_10014;0.749906261717285;12.012012012012;0.062429696287964;1001.peg.12095;CT04_12095;glycosyl hydrolase family 43;;Yes;GLRG_01024T0;;0.98224817644773;1;ns;FALSE;TRUE
