
GeneID;;Length;;NoCys;FractCys;;species-specific;genus-specific;;invitro_1;invitro_2;invitro_3;minusP_1;minusP10_2;minusP10_3;minusP24_1;minusP24_2;minusP24_3;;minusP_10dpi/IV;minusP_24dpi/IV;;dN/dS
CI_00020;;130;;2;1.54;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_00223;;394;;15;3.81;;Y;;;10.49880374;9.482364807;7.95895367;12.27612177;7.779432706;9.075080535;16.95082963;9.543909231;9.670471766;;;;;
CI_00297;;292;;12;4.11;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_00318;;91;;3;3.3;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_00338;;79;;8;10.13;;;Y;;0.056010216;0.0778716;0.018352699;4.740284643;3.596942004;2.345245531;6.296022433;6.964474304;3.223490589;;up in planta;up in planta;;
CI_00366;;123;;8;6.5;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_00516;;107;;5;4.67;;;Y;;2.956094711;3.276597315;3.052665551;5.226467684;4.935339028;6.8318022;15.98221079;18.31398798;29.0114153;;;up in planta;;
CI_00694;;60;;2;3.33;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_00710;;72;;2;2.78;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_00738;;88;;6;6.82;;;Y;;0.06845693;0.017970369;0.018352699;4.011010083;2.258544979;0.917704773;28.57425566;26.05229277;34.87230728;;up in planta;up in planta;;
CI_00746;;103;;0;0;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_00803;;109;;6;5.5;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_01002;;261;;3;1.15;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_01026;;142;;10;7.04;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_01174;;128;;2;1.56;;Y;;;200;200;200;167.6116032;162.5315887;157.9471882;186.4591259;191.1361281;186.6694095;;up in vitro;up in vitro;;
CI_01248;;66;;6;9.09;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_01388;;148;;8;5.41;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CI_01701;;86;;3;3.49;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
