gfam_10036;CT04_11579
gfam_10040;CT04_07585
gfam_10041;CT04_07581
gfam_10246;CT04_11676
gfam_10304;CT04_00833
gfam_10309;CT04_02231
gfam_10310;CT04_05477
gfam_10326;CT04_09467
gfam_10436;CT04_02592
gfam_10445;CT04_06122
gfam_10461;CT04_12051
gfam_10485;CT04_00277
gfam_10550;CT04_00155
gfam_10552;CT04_03391
gfam_10705;CT04_09691
gfam_10738;CT04_04209
gfam_10830;CT04_04385
gfam_10833;CT04_07452
gfam_10837;CT04_07583
gfam_10883;CT04_04095
gfam_10897;CT04_01742
gfam_10944;CT04_01776
gfam_10983;CT04_00508
gfam_11029;CT04_06236
gfam_11125;CT04_04320
gfam_11161;CT04_11343
gfam_11195;CT04_11550
gfam_11227;CT04_12042
gfam_11238;CT04_00924
gfam_11247;CT04_10602
gfam_11262;CT04_06257
gfam_11298;CT04_01748
gfam_11333;CT04_10374
gfam_11343;CT04_08057
gfam_11347;CT04_01302
gfam_11357;CT04_08796
gfam_11418;CT04_04972
gfam_11426;CT04_11716
gfam_11428;CT04_13259
gfam_11441;CT04_02330
gfam_11500;CT04_13237
gfam_11523;CT04_06293
gfam_11613;CT04_10768
gfam_11616;CT04_10804
gfam_11622;CT04_10907
gfam_11633;CT04_11158
gfam_11645;CT04_11428
gfam_11679;CT04_12418
gfam_11685;CT04_12692
gfam_11688;CT04_12762
gfam_11708;CT04_01337
gfam_11725;CT04_01886
gfam_11757;CT04_02913
gfam_11758;CT04_02934
gfam_11787;CT04_04055
gfam_11793;CT04_04204
gfam_11840;CT04_05793
gfam_11859;CT04_06120
gfam_11921;CT04_08444
gfam_11941;CT04_09162
gfam_12041;CT04_03258
gfam_12111;CT04_01812
gfam_12174;CT04_03257
gfam_12174;CT04_10561
gfam_12220;CT04_10766
gfam_12221;CT04_11194
gfam_12253;CT04_04758
gfam_1421;CT04_01555
gfam_14484;CT04_07807
gfam_14493;CT04_09804
gfam_355;CT04_03186
gfam_3711;CT04_07148
gfam_6313;CT04_02249
gfam_6608;CT04_09771
gfam_6609;CT04_09789
gfam_6778;CT04_12851
gfam_6971;CT04_02234
gfam_7142;CT04_11975
gfam_7156;CT04_06689
gfam_7786;CT04_11708
gfam_8237;CT04_06083
gfam_8262;CT04_02731
gfam_8411;CT04_04305
gfam_8485;CT04_04293
gfam_8495;CT04_09599
gfam_8513;CT04_03375
gfam_8542;CT04_04502
gfam_8543;CT04_07149
gfam_8728;CT04_10528
gfam_8739;CT04_08933
gfam_8877;CT04_12530
gfam_8892;CT04_11272
gfam_8895;CT04_01252
gfam_9015;CT04_04946
gfam_9091;CT04_11949
gfam_9182;CT04_02888
gfam_9258;CT04_02431
gfam_9299;CT04_00782
gfam_9376;CT04_12761
gfam_9388;CT04_08969
gfam_9410;CT04_00222
gfam_9430;CT04_06261
gfam_9474;CT04_01126
gfam_9479;CT04_04296
gfam_9531;CT04_01323
gfam_9588;CT04_03039
gfam_9638;CT04_00229
gfam_9656;CT04_00621
gfam_970;CT04_01380
gfam_9716;CT04_10683
gfam_9719;CT04_09572
gfam_9749;CT04_01629
gfam_9772;CT04_11091
gfam_9780;CT04_01355
gfam_9781;CT04_10662
gfam_9799;CT04_02884
gfam_9814;CT04_09390
gfam_9866;CT04_08216
gfam_9907;CT04_05635
gfam_9937;CT04_02762
gfam_9975;CT04_05070
