all_syn	all_nonSyn	tip_syn	tip_nonSyn	S	N	comparisons
001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
006	0.0	0.0	0.0	0.0	0.0	0.0	0.0
007	0.0	0.0	0.0	0.0	0.0	0.0	0.0
008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
009	0.0	0.0	0.0	0.0	0.0	0.0	0.0
010	0.0	0.0	0.0	0.0	0.0	0.0	0.0
011	0.0	0.0	0.0	0.0	0.0	0.0	0.0
012	0.0	0.0	0.0	0.0	0.0	0.0	0.0
013	0.0	0.0	0.0	0.0	0.0	0.0	0.0
014	0.0	0.0	0.0	0.0	0.0	0.0	0.0
015	0.0	0.0	0.0	0.0	0.0	0.0	0.0
016	0.0	0.0	0.0	0.0	0.0	0.0	0.0
017	0.0	0.0	0.0	0.0	0.0	0.0	0.0
018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
019	0.0	0.0	0.0	0.0	0.0	0.0	0.0
020	0.0	2.0	0.0	1.0	1.0	5.0	1.0
021	1.0	2.0	0.0	1.0	1.6680000000000001	4.332	1.0
022	1.0	2.0	1.0	1.0	0.6660000000000004	5.334	1.0
023	0.0	2.0	0.0	1.0	1.3330000000000002	4.667	1.0
024	1.0	2.0	1.0	0.0	2.0	4.0	1.0
025	0.0	2.0	0.0	1.0	1.3330000000000002	4.667	1.0
026	1.0	2.0	0.0	1.0	2.4010000000000002	6.599	1.0
027	1.0	2.0	0.0	1.0	1.3330000000000002	4.667	1.0
028	0.0	0.0	0.0	0.0	0.0	0.0	0.0
029	0.0	0.0	0.0	0.0	0.0	0.0	0.0
030	0.0	0.0	0.0	0.0	0.0	0.0	0.0
031	0.0	0.0	0.0	0.0	0.0	0.0	0.0
032	1.0	0.0	0.0	0.0	1.0	2.0	0.0
033	1.0	0.0	0.0	0.0	0.3330000000000002	2.667	0.0
034	0.0	0.0	0.0	0.0	0.0	0.0	0.0
035	0.0	0.0	0.0	0.0	0.0	0.0	0.0
036	1.0	0.0	0.0	0.0	1.0	2.0	0.0
037	1.0	0.0	0.0	0.0	0.3330000000000002	2.667	0.0
038	0.0	0.0	0.0	0.0	0.0	0.0	0.0
039	2.0	0.0	1.0	0.0	2.0	4.0	1.0
040	0.0	0.0	0.0	0.0	0.0	0.0	0.0
041	0.0	0.0	0.0	0.0	0.0	0.0	0.0
042	1.0	0.0	0.0	0.0	0.3330000000000002	2.667	0.0
043	1.0	2.0	0.0	1.0	2.736	6.263999999999999	1.0
044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
045	0.0	0.0	0.0	0.0	0.0	0.0	0.0
046	0.0	0.0	0.0	0.0	0.0	0.0	0.0
047	1.0	1.0	0.0	0.0	0.6680000000000001	2.332	0.0
048	0.0	0.0	0.0	0.0	0.0	0.0	0.0
049	1.0	0.0	0.0	0.0	0.3330000000000002	2.667	0.0
050	0.0	1.0	0.0	0.0	1.0	2.0	0.0
051	1.0	0.0	0.0	0.0	0.3330000000000002	2.667	0.0
052	1.0	0.0	0.0	0.0	0.3330000000000002	2.667	0.0
053	0.0	0.0	0.0	0.0	0.0	0.0	0.0
054	0.0	0.0	0.0	0.0	0.0	0.0	0.0
055	3.0	2.0	0.0	1.0	4.333	10.667	1.0
056	0.0	1.0	0.0	0.0	0.3330000000000002	2.667	0.0
057	3.0	0.0	2.0	0.0	3.0	6.0	2.0
058	0.0	2.0	0.0	0.0	1.0	2.0	0.0
059	0.0	0.0	0.0	0.0	0.0	0.0	0.0
060	2.0	0.0	1.0	0.0	0.6660000000000004	5.334	1.0
061	3.0	0.0	0.0	0.0	3.0	6.0	0.0
062	2.0	0.0	1.0	0.0	0.6660000000000004	5.334	1.0
063	0.0	2.0	0.0	0.0	1.0	2.0	0.0
064	2.0	2.0	0.0	0.0	2.0	4.0	0.0
065	2.0	0.0	0.0	0.0	2.0	4.0	0.0
066	1.0	0.0	0.0	0.0	1.0	2.0	0.0
067	2.0	0.0	0.0	0.0	2.0	4.0	0.0
068	0.0	0.0	0.0	0.0	0.0	0.0	0.0
069	2.0	0.0	0.0	0.0	0.6660000000000004	5.334	0.0
070	0.0	0.0	0.0	0.0	0.0	0.0	0.0
071	1.0	0.0	1.0	0.0	1.0	2.0	1.0
072	2.0	0.0	0.0	0.0	0.6660000000000004	5.334	0.0
073	2.0	1.0	1.0	0.0	1.3330000000000002	4.667	1.0
074	1.0	0.0	1.0	0.0	0.3330000000000002	2.667	1.0
075	2.0	1.0	0.0	0.0	1.6680000000000001	4.332	0.0
076	3.0	2.0	2.0	2.0	3.0	9.0	3.0
077	1.0	2.0	0.0	2.0	1.6660000000000004	7.334	2.0
078	0.0	3.0	0.0	2.0	2.068	6.932	2.0
079	2.0	3.0	2.0	2.0	3.333	8.667	3.0
080	2.0	4.0	1.0	2.0	1.3330000000000002	4.667	1.0
081	2.0	3.0	2.0	1.0	5.0	10.0	3.0
082	3.0	5.0	2.0	2.0	4.666	13.334	3.0
083	2.0	2.0	2.0	2.0	1.3330000000000002	4.667	2.0
084	1.0	2.0	1.0	2.0	1.3330000000000002	4.667	2.0
085	1.0	0.0	0.0	0.0	1.0	2.0	0.0
086	1.0	0.0	0.0	0.0	1.0	2.0	0.0
087	0.0	0.0	0.0	0.0	0.0	0.0	0.0
088	2.0	2.0	1.0	1.0	1.6680000000000001	4.332	1.0
089	3.0	5.0	3.0	3.0	3.9990000000000006	14.001	5.0
090	0.0	1.0	0.0	0.0	1.0	2.0	0.0
091	2.0	4.0	1.0	2.0	3.0	6.0	2.0
092	3.0	3.0	2.0	3.0	3.0010000000000003	8.998999999999999	3.0
093	2.0	4.0	1.0	2.0	1.9990000000000006	10.001	2.0
094	2.0	1.0	1.0	1.0	1.3330000000000002	4.667	1.0
095	2.0	1.0	2.0	1.0	3.4	5.6	3.0
096	1.0	2.0	1.0	0.0	0.6660000000000004	5.334	1.0
097	2.0	0.0	1.0	0.0	2.0	4.0	1.0
098	1.0	2.0	0.0	2.0	3.0	6.0	2.0
099	1.0	1.0	1.0	0.0	0.6660000000000004	5.334	1.0
100	2.0	2.0	1.0	2.0	2.333	6.667	2.0
101	3.0	0.0	3.0	0.0	3.0	6.0	3.0
102	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104	1.0	3.0	1.0	2.0	2.0	4.0	1.0
105	2.0	2.0	1.0	1.0	3.0	6.0	2.0
106	2.0	3.0	1.0	1.0	2.6660000000000004	9.334	2.0
107	2.0	3.0	0.0	2.0	1.6660000000000004	7.334	1.0
108	1.0	3.0	0.0	2.0	1.9990000000000006	10.001	2.0
109	2.0	1.0	1.0	0.0	0.9990000000000006	8.001	1.0
110	2.0	1.0	2.0	0.0	2.333	6.667	2.0
111	3.0	0.0	2.0	0.0	3.0	6.0	2.0
112	3.0	0.0	2.0	0.0	3.0	6.0	2.0
113	1.0	0.0	1.0	0.0	1.4	1.6	1.0
114	0.0	0.0	0.0	0.0	0.0	0.0	0.0
115	1.0	0.0	1.0	0.0	0.3330000000000002	2.667	1.0
116	0.0	1.0	0.0	1.0	0.3330000000000002	2.667	1.0
117	2.0	2.0	2.0	1.0	3.333	8.667	3.0
118	0.0	0.0	0.0	0.0	0.0	0.0	0.0
119	1.0	2.0	1.0	1.0	3.0	6.0	2.0
120	2.0	0.0	1.0	0.0	2.0	4.0	1.0
121	3.0	0.0	2.0	0.0	3.0	6.0	2.0
122	2.0	0.0	2.0	0.0	2.0	4.0	2.0
123	1.0	1.0	1.0	0.0	0.6660000000000004	5.334	1.0
124	2.0	0.0	2.0	0.0	2.0	4.0	2.0
125	1.0	0.0	0.0	0.0	1.0	2.0	0.0
126	2.0	0.0	0.0	0.0	2.0	4.0	0.0
127	3.0	1.0	1.0	1.0	4.0	8.0	2.0
128	3.0	0.0	2.0	0.0	3.0	6.0	2.0
129	2.0	0.0	1.0	0.0	0.6660000000000004	5.334	1.0
130	1.0	0.0	1.0	0.0	1.0	2.0	1.0
131	0.0	0.0	0.0	0.0	0.0	0.0	0.0
132	0.0	0.0	0.0	0.0	0.0	0.0	0.0
133	0.0	0.0	0.0	0.0	0.0	0.0	0.0
134	2.0	0.0	0.0	0.0	2.0	4.0	0.0
135	2.0	0.0	1.0	0.0	0.6660000000000004	5.334	1.0
136	1.0	1.0	1.0	1.0	1.6680000000000001	4.332	2.0
137	2.0	0.0	2.0	0.0	2.0	4.0	2.0
138	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139	1.0	0.0	1.0	0.0	0.3330000000000002	2.667	1.0
140	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141	0.0	0.0	0.0	0.0	0.0	0.0	0.0
142	3.0	0.0	1.0	0.0	3.0	6.0	1.0
143	1.0	1.0	1.0	0.0	0.6660000000000004	5.334	1.0
144	2.0	0.0	0.0	0.0	0.6660000000000004	5.334	0.0
145	2.0	0.0	0.0	0.0	2.0	4.0	0.0
146	3.0	1.0	1.0	0.0	3.0	6.0	1.0
147	3.0	0.0	1.0	0.0	3.0	6.0	1.0
148	2.0	2.0	1.0	1.0	3.3360000000000003	8.664	2.0
149	1.0	0.0	1.0	0.0	0.3330000000000002	2.667	1.0
150	1.0	0.0	1.0	0.0	1.0	2.0	1.0
151	1.0	1.0	1.0	0.0	2.4	3.6	1.0
152	2.0	1.0	1.0	0.0	3.8	5.2	1.0
153	1.0	0.0	1.0	0.0	1.0	2.0	1.0
154	0.0	0.0	0.0	0.0	0.0	0.0	0.0
155	2.0	0.0	2.0	0.0	0.6660000000000004	5.334	2.0
156	1.0	2.0	1.0	1.0	0.9990000000000006	8.001	2.0
157	4.0	0.0	4.0	0.0	3.068	5.932	3.0
158	0.0	0.0	0.0	0.0	0.0	0.0	0.0
159	2.0	0.0	1.0	0.0	0.6660000000000004	5.334	1.0
160	2.0	0.0	1.0	0.0	0.6660000000000004	5.334	1.0
161	1.0	1.0	1.0	0.0	1.0010000000000003	4.999	1.0
162	1.0	2.0	1.0	0.0	0.9990000000000006	8.001	1.0
163	1.0	2.0	1.0	0.0	2.333	6.667	1.0
164	3.0	6.0	2.0	4.0	2.6660000000000004	9.334	2.0
165	1.0	5.0	0.0	4.0	1.9990000000000006	10.001	2.0
166	1.0	2.0	0.0	0.0	0.6660000000000004	5.334	0.0
167	0.0	0.0	0.0	0.0	0.0	0.0	0.0
168	0.0	0.0	0.0	0.0	0.0	0.0	0.0
169	3.0	2.0	2.0	2.0	3.0	6.0	2.0
170	2.0	2.0	1.0	1.0	3.0	6.0	2.0
171	2.0	1.0	1.0	0.0	2.4	3.6	1.0
172	2.0	4.0	0.0	0.0	1.3330000000000002	4.667	0.0
173	4.0	1.0	2.0	1.0	3.668	8.332	2.0
174	2.0	2.0	2.0	1.0	2.6660000000000004	9.334	3.0
175	0.0	1.0	0.0	1.0	0.3330000000000002	2.667	1.0
176	0.0	2.0	0.0	1.0	0.6660000000000004	5.334	1.0
177	2.0	1.0	1.0	1.0	1.3330000000000002	4.667	1.0
178	2.0	0.0	1.0	0.0	0.6660000000000004	5.334	1.0
179	2.0	0.0	1.0	0.0	2.0	4.0	1.0
180	2.0	0.0	2.0	0.0	2.068	3.932	2.0
181	2.0	1.0	1.0	0.0	1.6660000000000004	7.334	1.0
182	2.0	0.0	2.0	0.0	0.6660000000000004	5.334	2.0
183	1.0	0.0	1.0	0.0	0.3330000000000002	2.667	1.0
184	1.0	0.0	1.0	0.0	0.3330000000000002	2.667	1.0
185	1.0	0.0	0.0	0.0	1.0	2.0	0.0
186	1.0	0.0	0.0	0.0	1.0	2.0	0.0
187	1.0	0.0	1.0	0.0	0.6680000000000001	2.332	1.0
188	1.0	1.0	0.0	0.0	0.6660000000000004	5.334	0.0
189	1.0	0.0	1.0	0.0	0.3330000000000002	2.667	1.0
